severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type
0,16,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,17,0,1,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway
1,17,0,1,Weekday,50,Daylight,Raining + high winds,Flood over 3cm. deep,Single carriageway
1,15,0,0,Weekend,50,Daylight,Fine no high winds,Dry,Dual carriageway
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Roundabout
0,17,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Roundabout
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,One way street
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,16,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway
0,19,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Roundabout
0,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,17,0,1,Weekday,70,Darkness - lights lit,Raining + high winds,Wet or damp,Dual carriageway
0,20,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,7,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,19,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Dry,Single carriageway
1,21,0,1,Weekday,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway
0,6,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Roundabout
0,19,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
0,9,0,1,Weekend,40,Daylight,Fine no high winds,Dry,Roundabout
0,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway
