severe,hour,is_night,rural,day_type,speed_limit,light_conditions,weather_conditions,road_surface_conditions,road_type,urban_or_rural_area,police_force,longitude,latitude,first_road_class,hour_factor,speed_limit_factor,rural_factor
0,16,0,0,Weekday,30,Darkness - lights lit,Raining no high winds,Wet or damp,Single carriageway,Urban,Cleveland,-1.22722,54.57219,Unclassified,16,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cleveland,-1.29265,54.54466,Unclassified,14,30,Urban
0,17,0,1,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Rural,Cheshire,-2.53157,53.41443,Unclassified,17,30,Rural
1,17,0,1,Weekday,50,Daylight,Raining + high winds,Flood over 3cm. deep,Single carriageway,Rural,Lancashire,-2.5163,53.67359,A,17,50,Rural
1,15,0,0,Weekend,50,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Lancashire,-2.50416,53.76592,A,15,50,Urban
0,14,0,1,Weekday,40,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Humberside,-0.09323,53.52234,B,14,40,Rural
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Humberside,-0.66503,53.57841,Unclassified,8,30,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,North Yorkshire,-1.10184,53.98933,Unclassified,8,30,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Roundabout,Urban,Derbyshire,-1.42873,52.89721,A,8,30,Urban
0,17,0,0,Weekday,40,Daylight,Fine no high winds,Dry,Roundabout,Urban,Derbyshire,-1.47138,52.89648,A,17,40,Urban
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,One way street,Urban,Derbyshire,-1.48545,52.92485,A,15,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Derbyshire,-1.47151,52.93401,Unclassified,14,30,Urban
0,16,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Leicestershire,-1.06445,52.63051,B,16,30,Urban
0,19,0,1,Weekday,30,Daylight,Fine no high winds,Dry,Roundabout,Rural,Staffordshire,-2.1834,52.99021,A,19,30,Rural
0,17,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Avon and Somerset,-2.94869,51.34909,Unclassified,17,30,Urban
0,17,0,1,Weekday,70,Darkness - lights lit,Raining + high winds,Wet or damp,Dual carriageway,Rural,Avon and Somerset,-2.69938,51.57405,Motorway,17,70,Rural
0,20,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Avon and Somerset,-2.40864,51.47457,Unclassified,20,60,Rural
0,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Avon and Somerset,-2.56056,51.52265,B,15,30,Urban
0,7,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Devon and Cornwall,-4.03454,50.38814,B,7,30,Urban
0,19,0,1,Weekday,60,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Wiltshire,-1.63827,51.55293,Unclassified,19,60,Rural
1,21,0,1,Weekday,70,Darkness - no lighting,Fine no high winds,Dry,Dual carriageway,Rural,Cambridgeshire,-0.08083,52.6239,A,21,70,Rural
0,6,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Roundabout,Urban,Bedfordshire,-0.41161,51.88067,Unclassified,6,30,Urban
0,19,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Essex,0.70141,51.55675,A,19,30,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.5431,51.3756,A,11,30,Urban
0,9,0,1,Weekend,40,Daylight,Fine no high winds,Dry,Roundabout,Rural,Kent,0.56833,51.37104,A,9,40,Rural
0,18,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.52141,51.35744,Unclassified,18,30,Urban
1,1,1,0,Weekday,40,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Kent,0.4969,51.35991,B,1,40,Urban
0,22,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Thames Valley,-0.58983,51.51822,B,22,30,Urban
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Thames Valley,-0.71887,51.51267,A,14,30,Urban
0,8,0,1,Weekend,50,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,Thames Valley,-0.59158,51.46577,A,8,50,Rural
0,14,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.05648,50.79199,A,14,30,Urban
0,13,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.08637,50.81251,Unclassified,13,30,Urban
1,13,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Slip road,Rural,Hampshire,-1.09111,50.84322,Motorway,13,60,Rural
1,19,0,0,Weekend,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Hampshire,-1.4106,50.93518,A,19,30,Urban
0,17,0,1,Weekday,70,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Durham,-1.533,54.7779,A(M),17,70,Rural
1,10,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,Durham,-1.46196,54.64556,Unclassified,10,60,Rural
0,16,0,1,Weekday,60,Darkness - lights unlit,Fine no high winds,Dry,Single carriageway,Rural,West Mercia,-2.34358,52.46348,A,16,60,Rural
0,21,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Roundabout,Urban,Bedfordshire,-0.44567,52.13457,A,21,30,Urban
1,17,0,0,Weekday,30,Darkness - lights lit,Fine no high winds,Dry,Single carriageway,Urban,Bedfordshire,-0.48553,52.13198,Unclassified,17,30,Urban
0,19,0,1,Weekday,60,Daylight,Fine no high winds,Wet or damp,Single carriageway,Rural,Northumbria,-2.42856,54.96962,A,19,60,Rural
0,7,0,1,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Rural,Northamptonshire,-0.66362,52.25569,Unclassified,7,30,Rural
0,4,1,1,Weekend,30,Darkness - no lighting,Fine no high winds,Dry,Single carriageway,Rural,Northamptonshire,-0.69858,52.3861,A,4,30,Rural
0,9,0,1,Weekday,50,Daylight,Fine no high winds,Frost or ice,Single carriageway,Rural,Cumbria,-3.51665,54.61674,Unclassified,9,50,Rural
0,17,0,1,Weekday,60,Daylight,Fine no high winds,Dry,Single carriageway,Rural,Cumbria,-2.98605,54.95515,Unclassified,17,60,Rural
1,11,0,1,Weekday,70,Daylight,Raining no high winds,Wet or damp,Dual carriageway,Rural,Cumbria,-2.87219,54.2259,A,11,70,Rural
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Cumbria,-2.7487,54.33781,Unclassified,8,30,Urban
0,7,0,1,Weekday,70,Darkness - no lighting,Raining no high winds,Wet or damp,Slip road,Rural,Cumbria,-2.71402,54.23822,Motorway,7,70,Rural
0,10,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Dual carriageway,Urban,Greater Manchester,-2.11598,53.53796,A,10,30,Urban
0,17,0,1,Weekday,40,Daylight,Fine no high winds,Dry,Dual carriageway,Rural,Greater Manchester,-2.23517,53.56614,Motorway,17,40,Rural
0,11,0,0,Weekday,30,Daylight,Raining no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.25398,53.48239,A,11,30,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Wet or damp,Single carriageway,Urban,Greater Manchester,-2.26487,53.51569,Unclassified,8,30,Urban
1,15,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.06307,53.44115,A,15,30,Urban
0,15,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.6589,53.52154,Unclassified,15,20,Urban
0,20,0,0,Weekday,50,Darkness - lights lit,Fine no high winds,Dry,Dual carriageway,Urban,Greater Manchester,-2.56744,53.46771,A,20,50,Urban
0,8,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Greater Manchester,-2.60529,53.54349,A,8,30,Urban
0,13,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.78456,53.42099,Unclassified,13,20,Urban
0,11,0,0,Weekday,30,Daylight,Fine no high winds,Dry,Single carriageway,Urban,Merseyside,-2.77128,53.46465,Unclassified,11,30,Urban
0,11,0,0,Weekday,20,Daylight,Raining no high winds,Wet or damp,One way street,Urban,Merseyside,-2.96644,53.66217,A,11,20,Urban
0,19,0,0,Weekday,20,Daylight,Fine no high winds,Dry,Roundabout,Urban,Merseyside,-2.98825,53.47512,Unclassified,19,20,Urban
