Model,Speed_Limit_Category,Estimate,Std_Error,z_value,p_value
Base PC Model,30,0.10654234207731586,0.020935971641425508,5.088960947315341,3.6003073965182913e-7
Base PC Model,40,0.30782308415721926,0.032032389554289796,9.609744650348617,7.272912395585242e-22
Base PC Model,50,0.34511461308230934,0.04132406833238613,8.351419088421146,6.744764230816639e-17
Base PC Model,60,0.5705176087211509,0.03326061550572052,17.152948015139017,5.974327601758671e-66
Base PC Model,70,0.37858035507283955,0.04476053811947414,8.457904461790399,2.7222499482317674e-17
PC Model with Time Splines,30,0.11372265638236348,0.020977170054815423,5.4212582576770325,5.918098826134799e-8
PC Model with Time Splines,40,0.3274568929986996,0.03214231574185968,10.187719379915272,2.2498007474349334e-24
PC Model with Time Splines,50,0.3613588874291948,0.041463247950697876,8.715161143643902,2.9034537800180613e-18
PC Model with Time Splines,60,0.5616589081119273,0.03335125659782376,16.840712027281658,1.2275054284876433e-63
PC Model with Time Splines,70,0.4566743994568783,0.04514554431552044,10.11560291011664,4.711074147797302e-24
