Principal_Component,Eigenvalue,Variance_Proportion,Cumulative_Variance
PC1,3.3226946406122955,0.12306276446710548,0.12306276446710548
PC2,2.6169219315038332,0.09692303450012893,0.21998579896723441
PC3,1.7691790609068827,0.0655251504039498,0.2855109493711842
PC4,1.6172076019591664,0.05989657785033143,0.34540752722151563
PC5,1.562551134084806,0.057872264225355394,0.40327979144687104
PC6,1.2587260459282703,0.04661948318252226,0.4498992746293933
PC7,1.1973095056267484,0.044344796504688415,0.4942440711340817
PC8,1.1182028181236576,0.04141491918975952,0.5356589903238412
PC9,1.0734098013802091,0.03975591856963202,0.5754149088934732
PC10,1.0614787609660492,0.039314028183922455,0.6147289370773957
PC11,1.0271627914774668,0.03804306635101217,0.6527720034284079
PC12,1.013859148455683,0.0375503388316869,0.6903223422600948
PC13,1.0102828484127604,0.037417883274541645,0.7277402255346365
PC14,1.0031554712421662,0.03715390634229745,0.7648941318769339
PC15,0.9942983914233937,0.036825866349009626,0.8017199982259435
PC16,0.9522480981443031,0.035268448079413886,0.8369884463053574
PC17,0.8943438568201546,0.033123846548890154,0.8701122928542475
PC18,0.8694443484013031,0.03220164253337726,0.9023139353876248
PC19,0.8325173375135666,0.03083397546346128,0.9331479108510861
PC20,0.5694254292909677,0.021089830714477446,0.9542377415655635
PC21,0.4511976467407593,0.016711023953359206,0.9709487655189227
PC22,0.4162343201286227,0.015416085930687655,0.9863648514496104
PC23,0.30083458038801586,0.011142021495850939,0.9975068729454614
PC24,0.037539133898768874,0.0013903382925468083,0.9988972112380081
PC25,0.029775296573783357,0.0011027887619918277,1
PC26,3.8075036892032625e-25,1.4101865515565741e-26,1
PC27,6.552859452444428e-31,2.4269849823864987e-32,1
