Feature,PC1,PC2,PC3
urban_or_rural_areaRural,0.5327432850052749,-0.06821141512280136,0.02613835799009419
urban_or_rural_areaUrban,-0.5327432850056781,0.06821141512285682,-0.02613835799011275
rural_factorUrban,-0.5327432850056781,0.06821141512285687,-0.026138357990112653
road_typeOne way street,-0.07021840565736877,0.015349425980374998,-0.2011729594882245
road_typeRoundabout,0.01264573716886267,0.01932521203552047,-0.38481960120776626
road_typeSingle carriageway,-0.05614323909947079,-0.04579550973027161,0.6174976718451674
road_typeSlip road,0.039772480077065034,0.012199178909206628,-0.2384514981622471
first_road_classA(M),0.037918151265344056,0.0027122183951123406,-0.07094046131236505
first_road_classB,0.05310961757723398,-5.752133461755619e-4,0.03664639366065116
first_road_classC,-0.029628484414570402,0.007879666941560583,-0.037002128656868444
first_road_classMotorway,0.15044260131518994,0.010639570685358028,-0.2887061665818056
first_road_classUnclassified,-0.12652066279344265,-0.029037004228630932,0.31627821146344287
light_conditionsDarkness - lights lit,-0.12707139492221808,0.31467092801560825,-0.2512782596894714
light_conditionsDarkness - lights unlit,0.0030666110086488307,0.048360990522542585,-0.016045536128770417
light_conditionsDarkness - no lighting,0.2344917722791819,0.10943184345005805,0.04696461945614912
light_conditionsDaylight,-0.004356172822311762,-0.35607283540867757,0.2089802565674387
weather_conditionsFine no high winds,-0.06949205157879623,-0.5200723189573583,-0.15511272957675576
weather_conditionsFog or mist,0.04443888973212093,0.07321399903187464,0.02649703432075509
weather_conditionsOther,-0.007895051669395603,0.11739648367424911,0.05131618238095609
weather_conditionsRaining + high winds,0.03715641718335763,0.1365846803072639,0.00967113262962151
weather_conditionsRaining no high winds,0.056219512685290816,0.4702624876482751,0.12886180492622235
weather_conditionsSnowing + high winds,0.014468676363062052,0.011556032928996023,0.03068506966273462
weather_conditionsSnowing no high winds,0.02162180120822733,0.04089966952518953,0.07763827496671655
road_surface_conditionsFlood over 3cm. deep,0.04180165360137947,0.04918374790756741,-0.006316665273247892
road_surface_conditionsFrost or ice,0.039607045293090226,0.008989155884683506,0.029406847607035023
road_surface_conditionsSnow,0.024947132688829143,0.02869933497038399,0.073679037305576775
road_surface_conditionsWet or damp,0.08813551212027063,0.4555119650240902,0.11588734521850262
